"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Tatis Jr., Fernando",665487,2026,95,22.1,11.6,".300",".384",43.5,14.5,67.7,"105.347571613","98.647589016",28.9,47.7
"Jackson, Jeremiah",669236,2026,74,24.3,1.4,".368",".332",33.3,11.1,35.2,"100.462675926","94.595826792",30.6,62.1
"Schanuel, Nolan",694384,2026,96,14.6,10.4,".290",".301",29.2,1.4,30.6,"96.317148611","92.160640972",18.1,40.3
"Smith, Will",669257,2026,80,16.3,10,".332",".336",39,10.2,32.2,"97.993264","93.153661017",15.5,40
"Giménez, Andrés",665926,2026,84,14.3,4.8,".329",".284",26.5,4.4,29.4,"96.928895","92.541903731",18.9,57
"Young, Cole",702284,2026,94,23.4,11.7,".325",".326",35,6.7,33.3,"97.202570667","92.67074",25.8,44.8
"Trout, Mike",545361,2026,106,20.8,21.7,".416",".474",35.6,25.4,47.5,"104.370572414","96.812245517",22,36.7
"Winn, Masyn",691026,2026,78,21.8,11.5,".331",".303",34,4,24,"96.1807816","92.173868163",23,40.8
"Caratini, Victor",605170,2026,76,11.8,9.2,".316",".379",41.1,5.4,35.7,"97.968895714","93.183159107",16.2,40.7
"Goodman, Hunter",696100,2026,88,38.6,6.8,".351",".301",37.8,11.1,53.3,"103.638604783","96.908221333",38.3,54.2
"Alvarez, Yordan",670541,2026,109,10.1,17.4,".502",".553",48.7,22.4,50,"105.420624737","97.157447763",19.3,41.7
"Pasquantino, Vinnie",686469,2026,100,22,10,".231",".275",31.3,7.5,37.3,"98.97891697","93.823337273",18.8,47.4
"Langford, Wyatt",694671,2026,82,22,3.7,".282",".280",26.2,4.9,37.7,"99.820527742","94.388533115",25.3,47.6
"Carroll, Corbin",682998,2026,82,25.6,13.4,".426",".384",40,12,42,"100.7442168","94.445381",34.5,44.8
"Arenado, Nolan",571448,2026,75,22.7,1.3,".244",".259",31.6,7,22.8,"94.388500345","91.467328596",27.6,47
"Ozuna, Marcell",542303,2026,75,24,8,".256",".320",41.2,9.8,41.2,"100.3815632","94.2376818",27,42
"Dubón, Mauricio",643289,2026,82,18.3,4.9,".355",".307",33.9,6.5,32.3,"97.824849355","92.930458065",18.5,48.8
"Swanson, Dansby",621020,2026,90,24.4,16.7,".330",".349",34,15.1,52.8,"100.810445185","95.167618679",29.3,39.5
"Torres, Gleyber",650402,2026,101,16.8,15.8,".311",".335",38.2,5.9,23.5,"94.556624706","91.279784118",18.6,40.4
"Walker, Jordan",691023,2026,94,30.9,9.6,".437",".419",46.4,23.2,58.9,"106.639908571","98.369820357",35.2,49.6
"Judge, Aaron",592450,2026,95,30.5,11.6,".401",".425",34,28.3,52.8,"104.99161","97.274031321",34.4,44.3
"Machado, Manny",592518,2026,88,20.5,18.2,".294",".325",29.6,5.6,35.2,"98.357134074","93.216448704",27.6,41.9
"Kurtz, Nick",701762,2026,100,33,25,".372",".410",42.9,21.4,64.3,"107.196167143","99.960392857",38.6,37.9
"Contreras, Willson",575929,2026,89,28.1,12.4,".395",".408",33.3,16.7,47.9,"104.785476957","96.915595",38,44.3
"Simpson, Chandler",802415,2026,95,7.4,3.2,".335",".291",32.9,0,12.9,"92.77739","90.478464051",10.8,49.5
"Montgomery, Colson",695657,2026,88,31.8,10.2,".338",".300",36.2,12.8,36.2,"99.843287083","94.047635957",37.9,48.6
"Bohm, Alec",664761,2026,84,16.7,7.1,".195",".265",35.5,0,38.7,"99.345706774","93.913705645",18.7,40.3
"Seager, Corey",608369,2026,92,25,15.2,".333",".349",35.2,16.7,46.3,"101.954026667","95.288184074",32.4,50.4
"McGonigle, Kevin",805808,2026,95,12.6,13.7,".401",".433",45.7,12.9,41.4,"100.149980286","94.298719714",12.6,41.3
"Gorman, Nolan",669357,2026,80,30,10,".269",".243",31.3,4.2,37.5,"98.39193125","93.220969375",32.9,47.4
"Baldwin, Drake",686948,2026,106,17,7.5,".395",".387",42.3,15.4,44.9,"101.669934103","95.333825385",18.9,50.1
"House, Brady",691781,2026,90,30,5.6,".284",".301",27.6,10.3,41.4,"101.06256069","94.542578966",30.2,49.7
"Devers, Rafael",646240,2026,94,29.8,5.3,".259",".283",36.1,9.8,47.5,"101.495875333","95.363068333",27.8,52.1
"Hoerner, Nico",663538,2026,101,10.9,9.9,".398",".347",34.6,3.8,26.9,"95.702688205","91.928493117",10.7,42.4
"Correa, Carlos",621043,2026,92,16.3,12,".331",".363",37.9,9.1,39.4,"101.53958","94.799347121",21.4,45.2
"Kwan, Steven",680757,2026,103,11.7,8.7,".271",".287",34.6,1.2,7.4,"90.923112051","89.685284416",6.1,36.4
"Tucker, Kyle",663656,2026,95,21.1,12.6,".336",".320",33.3,7.9,38.1,"98.205000313","93.297930635",25.4,52.6
"Dingler, Dillon",693307,2026,78,15.4,6.4,".411",".475",47.3,21.8,56.4,"101.976612963","95.94901963",21.5,48.7
"Marte, Ketel",606466,2026,90,18.9,7.8,".298",".378",36.4,10.6,45.5,"103.795718485","96.211494",24.4,49.2
"Hernández, Teoscar",606192,2026,77,31.2,6.5,".347",".322",35.4,12.5,37.5,"99.221474583","93.771208511",32.9,46.6
"O'Hearn, Ryan",656811,2026,84,16.7,13.1,".417",".407",34.5,10.3,44.8,"100.13254069","94.787213103",17.6,43.1
"Merrill, Jackson",701538,2026,93,21.5,6.5,".293",".325",31.3,13.4,46.3,"100.618957273","94.554655152",28.5,58.1
"Bellinger, Cody",641355,2026,92,13,15.2,".374",".368",33.3,9.1,39.4,"98.331202727","93.311142308",20.7,42.8
"Rumfield, TJ",681198,2026,87,17.2,8,".320",".341",40,7.7,41.5,"98.878432424","93.522896462",22.3,51.7
"Burger, Jake",669394,2026,93,31.2,3.2,".326",".306",33.3,11.7,50,"103.537469","95.990661167",33.3,51.8
"Lile, Daylen",695734,2026,101,15.8,5.9,".331",".347",41.8,5.1,41,"98.859628462","93.492677821",22.2,56.4
